f ,vi (vpp),vo (vpp)
10,"0,064","0,54"
50,"0,064","0,54"
100,"0,064","0,54"
1000,"0,068","0,56"
5000,"0,068","0,56"
10000,"0,068","0,56"
15000,"0,068","0,56"
20000,"0,068","0,54"
25000,"0,068","0,54"
30000,"0,068","0,54"
35000,"0,068","0,54"
40000,"0,068","0,54"
45000,"0,068","0,54"
50000,"0,068","0,54"
55000,"0,068","0,54"
60000,"0,068","0,54"
65000,"0,068","0,54"
70000,"0,068","0,54"
75000,"0,068","0,54"
80000,"0,068","0,54"
85000,"0,068","0,54"
90000,"0,068","0,54"
95000,"0,068","0,54"
100000,"0,068","0,54"
105000,"0,068","0,54"
110000,"0,068","0,54"
115000,"0,068","0,54"
120000,"0,068","0,54"
125000,"0,068","0,54"
130000,"0,068","0,54"
135000,"0,068","0,54"
140000,"0,068","0,54"
145000,"0,068","0,54"
150000,"0,068","0,54"
155000,"0,068","0,54"
160000,"0,068","0,54"
165000,"0,068","0,54"
170000,"0,068","0,54"
175000,"0,068","0,54"
180000,"0,068","0,54"
185000,"0,068","0,54"
190000,"0,068","0,54"
195000,"0,068","0,54"
200000,"0,068","0,54"
205000,"0,068","0,56"
210000,"0,068","0,56"
215000,"0,068","0,56"
220000,"0,068","0,56"
225000,"0,068","0,56"
230000,"0,068","0,56"
235000,"0,068","0,56"
240000,"0,068","0,56"
245000,"0,068","0,56"
250000,"0,068","0,56"
255000,"0,068","0,56"
260000,"0,068","0,56"
265000,"0,068","0,58"
270000,"0,068","0,58"
275000,"0,068","0,58"
280000,"0,068","0,58"
285000,"0,068","0,58"
290000,"0,068","0,58"
295000,"0,068","0,58"
300000,"0,068","0,58"
305000,"0,068","0,58"
310000,"0,068","0,58"
315000,"0,068","0,58"
320000,"0,068","0,58"
325000,"0,068","0,58"
330000,"0,068","0,58"
335000,"0,068","0,58"
340000,"0,068","0,58"
345000,"0,068","0,58"
350000,"0,068","0,58"
355000,"0,068","0,58"
360000,"0,068","0,58"
365000,"0,068","0,58"
370000,"0,068","0,58"
375000,"0,068","0,58"
380000,"0,068","0,58"
